episode,reward,policy_loss,value_loss
0,-47218.58286817068,2.7910163402557373,852726784.0
1,-31507.489973032534,-0.10129451751708984,299868768.0
2,-40081.234783041305,-0.011446833610534668,711239488.0
3,-33346.18253250347,1.2230138778686523,494693120.0
4,-37227.805757954,0.41615331172943115,566568640.0
5,-36757.277321138776,0.44885337352752686,534886656.0
6,-42476.26819230383,1.9209589958190918,933103616.0
7,-45893.194738129234,-0.43025755882263184,898604928.0
8,-24550.356279898002,-1.694450855255127,151590512.0
9,-41620.86193753132,-1.0084619522094727,896086336.0
10,-59417.53396544554,-0.9074046611785889,1146199296.0
11,-27279.623621891515,-1.84796941280365,240869584.0
12,-17857.29130141926,-0.9307608008384705,95463040.0
13,-26285.67069097989,0.9616714715957642,222532960.0
14,-22105.86301278453,-2.4955732822418213,72919792.0
15,-35922.54364568091,1.0607905387878418,494236160.0
16,-24961.22335057127,-0.3217754662036896,281205120.0
17,-45241.941829433956,0.815949559211731,984959360.0
18,-35356.286865149275,1.7222418785095215,516985024.0
19,-14152.03618999554,1.530013084411621,66246048.0
20,-36699.289539249556,-0.6677574515342712,701422208.0
21,-48936.89500009046,1.2702585458755493,940162560.0
22,-17670.989998566376,-0.7381846904754639,104480120.0
23,-34343.6984257626,-0.6237626075744629,508719808.0
24,-24217.331018275036,1.2283130884170532,185648032.0
25,-9820.204059192423,-1.0793319940567017,18640844.0
26,-40338.04506402273,1.3471159934997559,790339136.0
27,-20354.697215428565,-3.018083095550537,116641768.0
28,-36359.094761313696,1.2804436683654785,631298688.0
29,-19575.828759416316,-0.0315319299697876,130028184.0
30,-27199.952624249003,-4.127348899841309,142090240.0
31,-26728.822707197487,-0.5350416302680969,319421632.0
32,-31550.301403089594,2.227484703063965,213917296.0
33,-25766.011677089147,-1.8228328227996826,197943264.0
34,-44297.65703191198,0.1042252779006958,773820800.0
35,-25638.46196009877,0.6139023303985596,258876464.0
36,-26789.97556306872,0.11194553971290588,322136320.0
37,-24420.241010427046,0.04104876518249512,213449792.0
38,-20573.543092881424,0.3445628881454468,141066400.0
39,-22362.56233546074,-1.5897083282470703,163852320.0
40,-31333.325816529483,1.7715193033218384,411310912.0
41,-35611.00338390182,1.8689684867858887,578201216.0
42,-30435.41496736391,1.5049651861190796,483984224.0
43,-31018.95463759359,0.6945446133613586,387883968.0
44,-18987.40034149594,-1.4829554557800293,104497288.0
45,-38073.156497937554,1.5096518993377686,656686336.0
46,-36771.25336078523,0.6620615720748901,617864320.0
47,-31699.62833420705,-2.000481128692627,401042112.0
48,-35528.784452018226,1.2189688682556152,631768960.0
49,-33437.5280754644,0.9530563354492188,619760000.0
