episode,reward,policy_loss,value_loss
0,-27905.214876984362,0.6222656965255737,293284416.0
1,-45446.91758669446,0.9074702858924866,787514944.0
2,-23960.35795470767,0.23295176029205322,176247696.0
3,-40257.8310762735,-0.3814288377761841,650657792.0
4,-18246.51765537209,-0.03156638145446777,97687184.0
5,-29685.8494934761,-1.8126155138015747,425093440.0
6,-39820.225770250196,-0.0799248218536377,451176864.0
7,-26758.76685843606,-0.5586074590682983,189540800.0
8,-37260.318968165026,4.072861671447754,655319424.0
9,-33763.28118106094,0.031929969787597656,370585920.0
10,-44875.956683780314,1.1470465660095215,1010275968.0
11,-26021.701955118708,1.3286690711975098,185510752.0
12,-25127.74599893509,1.5356076955795288,208168928.0
13,-28465.32554791484,0.41829442977905273,371246752.0
14,-11218.071797198985,0.8706244230270386,23303332.0
15,-42887.48563685798,0.34239912033081055,850700992.0
16,-28240.455515121772,2.0813684463500977,303119040.0
17,-41099.93342184933,-0.014815449714660645,875423616.0
18,-9900.823362249277,1.0003278255462646,18909456.0
19,-30411.410042287647,0.27355074882507324,394452800.0
20,-17403.92422811676,-0.8558428287506104,44959116.0
21,-31396.758899364377,-1.1127516031265259,473466208.0
22,-27319.73327385818,0.1205587387084961,261683280.0
23,-13189.956362012677,-0.5692434310913086,41121884.0
24,-36004.154454007454,0.9574368000030518,562131328.0
25,-26175.165562898324,-1.6349966526031494,219677024.0
26,-9137.847760055445,-0.8663555383682251,17147788.0
27,-40047.75452113106,0.20029187202453613,741987968.0
28,-32932.56219265585,-0.904301643371582,465553216.0
29,-28526.064003192547,1.4076926708221436,273198016.0
30,-21217.19397507399,-0.507786750793457,144782704.0
31,-44577.56045463536,0.19378185272216797,853000896.0
32,-33276.49249446282,-0.2869299054145813,348332992.0
33,-21314.135119758557,-0.6223341226577759,138579552.0
34,-39789.81053168489,0.2727847695350647,677514304.0
35,-50472.12630649735,-0.018832683563232422,1043952768.0
36,-25477.424739985203,0.13562440872192383,199048880.0
37,-22041.903272228887,-0.8568644523620605,158783744.0
38,-14160.726622136857,-0.09515976905822754,65155252.0
39,-41276.1733815075,-0.14993500709533691,767545856.0
40,-40061.41742291175,-0.8942068815231323,784358528.0
41,-42168.06425890604,-1.4518874883651733,781358720.0
42,-28541.274582580652,1.6900038719177246,298576352.0
43,-26521.93806125103,-0.15632879734039307,287262496.0
44,-19230.077157022373,-0.06875580549240112,76690496.0
45,-23645.118124856075,0.3574395179748535,173260800.0
46,-13842.465251890144,0.5028977990150452,52020728.0
47,-39981.02439015877,0.030566811561584473,760777728.0
48,-31945.84814259782,0.6890132427215576,383066176.0
49,-35969.06825856487,-0.15276885032653809,591585088.0
